Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Order_Date,Product_Image_Url,Product_Bottle_Type,Product_Dietary_Attribute,Product_Company
ORD1000,CUST293,B2B,Pokka Can Drink - Ice Lemon Tea Zero Sugar,Drinks,6.55,44,8.75,385.0,25/12/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13261055_XL1_20241023.jpg?w=320&q=60,12 x 300ml,Halal,Pokka
ORD1001,CUST243,B2C,Pokka Bandung Rose Milk Drink,Drinks,3.25,36,3.48,125.28,13/05/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13203363_XL1_20240118.jpg?w=320&q=60,6 x 250ml,Halal,Pokka
ORD1002,CUST480,B2C,Pokka Packet Drink - Chrysanthemum with White Tea,Drinks,8.95,79,14.3,1129.7,15/06/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11441936_XL1_20230324.jpg?w=320&q=60,24 x 250ml (CTN),,Pokka
ORD1003,CUST259,B2B,Pokka Packet Drink - Ice Peach Tea (Less Sugar),Drinks,3.6,23,0.0,82.8,28/11/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13151473_XL1_20230914.jpg?w=320&q=60,6 x 250ml,Halal,Pokka
ORD1004,CUST18,B2C,F & N Flavoured Bottle Drink - Outrageous Orange,Drinks,1.35,15,0.0,20.25,17/11/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/454330_XL1_20221012.jpg?w=320&q=60,1.5L,Halal,F & N 
ORD1005,CUST315,B2B,F & N Flavoured Bottle Drink - Cool Ice Cream Soda,Drinks,1.35,54,0.0,72.9,06/08/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/454322_XL1_20250220.jpg?w=320&q=60,1.5L,Halal,F & N 
ORD1006,CUST125,B2C,Pokka Can Drink - Ice Lemon Tea,Drinks,6.55,62,8.75,542.5,01/03/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11204957_XL1_20221011.jpg?w=320&q=60,12 x 300ml (CTN),,Pokka
ORD1007,CUST460,B2C,Pokka Bottle Drink - Jasmine Green Tea (No Sugar Added),Drinks,1.8,30,0.0,54.0,25/08/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13069530_XL1_20221123.jpg?w=320&q=60,1.5L,,Pokka
ORD1008,CUST104,B2B,Pokka Bottle Drink Sencha Japanese Green Tea - No Sugar,Drinks,24.0,85,38.4,3264.0,04/02/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12709481_XL1_20230913.jpg?w=320&q=60,24 x 500ml (CTN),Halal,Pokka
ORD1009,CUST389,B2C,Pokka Premium Bottle Drink - Milk Coffee,Drinks,1.5,100,1.82,182.0,20/09/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12234314_XL1_20230711.jpg?w=320&q=60,500ml,,Pokka
ORD1010,CUST215,B2B,Pokka Japanese Roasted Tea - Houjicha,Drinks,8.95,74,14.4,1065.6,23/02/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12709345_XL1_20230403.jpg?w=320&q=60,24 x 250ml (CTN),Halal,Pokka
ORD1011,CUST494,B2B,Monster Ultra Paradise Energy Drink - Zero Sugar,Drinks,51.3,91,70.8,6442.8,26/05/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12712751_XL1_20230615.jpg?w=320&q=60,24 x 355ml (CTN),,Monster
ORD1012,CUST153,B2C,Pokka Can Drink - Ice Peach Tea Zero Sugar,Drinks,6.55,53,8.75,463.75,14/03/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13261056_XL1_20241023.jpg?w=320&q=60,12 x 300ml,Halal,Pokka
ORD1013,CUST92,B2C,Pokka Can Drink - Ice Peach Tea Zero Sugar,Drinks,6.55,75,8.75,656.25,08/02/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13261056_XL1_20241023.jpg?w=320&q=60,12 x 300ml,Halal,Pokka
ORD1014,CUST208,B2C,Pokka Packet Drink - Ice Peach Tea (Less Sugar),Drinks,3.6,25,0.0,90.0,16/04/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13151473_XL1_20230914.jpg?w=320&q=60,6 x 250ml,Halal,Pokka
ORD1015,CUST448,B2B,Pokka Houjicha Japanese Green Tea - No Sugar,Drinks,2.65,78,3.43,267.54,24/08/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13234167_XL1_20230615.jpg?w=320&q=60,4 x 300ml,,Pokka
ORD1016,CUST337,B2B,Pokka Can Drink - Ice Lemon Tea,Drinks,6.55,93,8.75,813.75,06/02/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11204957_XL1_20221011.jpg?w=320&q=60,12 x 300ml (CTN),,Pokka
ORD1017,CUST67,B2C,Pokka Premium Bottle Drink - Milk Tea (Original),Drinks,1.5,63,1.82,114.66,06/01/2023,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11953296_XL1_20221011.jpg?w=320&q=60,500ml,,Pokka
